city,hotel_name,address,rating,review_count,price
Kolkata,Super Townhouse Parkstreet Formerly Hotel Royal Garden,"Near Jameson Inn, Park St, Kolkata",4.6,2028,₹1068
Kolkata,Super Townhouse Science City Formerly Hotel Mannat International,"Topsia Crossing, Kolkata",4.6,1386,₹1154
Kolkata,Collection O Dattapukur Railway Terminal Kolkata,"Jirat, Kolkata",4.6,12,₹595
Kolkata,Townhouse Belgharia Railway Station Kolkata Formerly BN Palace,"Sukanta Pally Belghoria Expressway, Kolkata",4.4,705,₹1353
Kolkata,Townhouse Madhyamgram Chowmatha Bus Terminal Kolkata Formerly Star Guest House,"Chowmatha Bus Terminal, Kolkata",4.6,1,₹822
Kolkata,Super Collection O Belgacihia Near Kolkata Railway Station,"Near Belgachia Metro Station, Kolkata",4.9,755,₹1208
Kolkata,Super Collection O Salt Lake,"Near 4 no. Tank Island, AE Block",4.5,1253,₹1677
Kolkata,Super Townhouse Oak DLF Newtown Bus Terminal,"North Twenty Four Pargana, Kolkata",4.6,275,₹1750
Kolkata,Hotel O Santoshpur Lakeview Formerly Bellavita Guest House,"Santoshpur, Kolkata",,,₹1428
Kolkata,Super Collection O Park Circus,"Near Quest Mall, Karaya Road, Kolkata",4.9,1233,₹1483
Kolkata,Collection O Dalhousie Square Kolkata Formerly G.N Palace,"24 RN Mukherjee Road,Bentick Street Cormer, Mission Row Extension",3.9,22,₹1511
Kolkata,Super Collection O Biswa Bangla Kolkata Formerly Dream Palace,"Newtown, Kolkata",4.6,486,₹1474
Kolkata,Super Hotel O Tagore Park Laskarhat Formerly Shankar Guest House,"Picnic Garden Road, Kolkata",4.7,869,₹987
Kolkata,Super Hotel O Serampore Railway Station Formerly Rupashi Guest House,"Serampore, Kolkata",4.5,399,₹1612
Kolkata,Super Collection O Hotel Aqua Villa Near Netaji Subhash Chandra Bose International Airport,"Chinarpark, Kalipark, Bablatola, Lalkuthi, Naranyapur",4.7,1099,₹633
Kolkata,Super Collection O Minto Park Formerly Hotel Gardenia,"Near Laxminarayan Temple, Sarat Bose Road, Kolkata",4.6,1426,₹1172
Kolkata,Super Collection O Ruby Formerly Hiland International,"Near Acropolis Mall, Rajdanga Main Road, Kolkata",4.4,3083,₹987
Kolkata,Super Townhouse Oak Ballygunge Formerly Hotel Lovelock,"Ballygunge, Kolkata",4.6,868,₹3551
Kolkata,Super Collection O Kalighat Metro Station Formerly RM Guest Home,"Raja Basanta Roy Road, Kolkata",4.6,34,₹1700
Kolkata,Collection O Circus Avenue Road Formerly Hotel Rockstar,Kolkata Opposite Bangladesh High Commission) Near A.J.C Bose Flyover,4.2,918,₹1519
Kolkata,Super Townhouse Oak Sealdah Railway Station Near Creek Row,"Sir Nilratan Sarkar Lane, Kolkata",4.6,126,₹1227
Kolkata,Super Collection O Howrah Botanical Garden Formerly Tanima Villa,"Howrah, Kolkata",4.5,913,₹1347
Kolkata,Super Hotel O Sarat Bose Road Formerly Shree Guest House,F,4.6,2137,₹983
Kolkata,Super Hotel O Red Stone Near Netaji Subhash Chandra Bose International Airport,"Chinar Park, Airport, Near Bablatala Petrol Pump, Narayanpur Kolkata",4.7,1216,₹613
Kolkata,Collection O Techno India University Saltlake Formerly A&M Regency,"Bidhannagar, Kolkata",4.6,21,₹997
Kolkata,Super Collection O Mourigram Near Andul Road,"Howrah, Kolkata",4.5,1871,₹987
Kolkata,Super Hotel O Baguiati Formerly GR Hospitality,"VIP Road Baguihati Kolkata Airport Near Ladies Hostel, Narayantala",4.7,957,₹987
Kolkata,SPOT ON Gouranga Guest House,"Deshbandhu Nagar, Kolkata",4.6,60,₹650
Kolkata,Super Hotel O Kabardanga More Kolkata Formerly Royal Crown Banquet,"Near Pavitra Megha Mall, Kolkata",4.8,1260,₹669
